met,Feature Dataset,Feature Class,SourceAttribute,DestinationAttribute,String Type,Definition,Notes
MTA.parkingregulationsAnnoSHAPE.LEN,MTA.Parking,MTA.parkingregulationsAnno,SHAPE.LEN,Do Not Publish,,,
MTA.parkingregulationsOBJECTID,MTA.Parking,MTA.parkingregulations,OBJECTID,Object ID,,,
MTA.parkingregulationsID,MTA.Parking,MTA.parkingregulations,ID,Do Not Publish,,,
MTA.parkingregulationsAGENCY,MTA.Parking,MTA.parkingregulations,AGENCY,Do Not Publish,, The agency for which a Government Permit is allowed on that blockface,
MTA.parkingregulationsREGULATION,MTA.Parking,MTA.parkingregulations,REGULATION,Regulation,," Primary parking regulation applied to that blockface - Government permit, Metered, No overnight parking, RPP, Time limited, Unregulated. In the case of Residential Parking Permit areas, there is also a time limit for non-RPP holders, specified in the ""HrLimit"" field",
MTA.parkingregulationsDAYS,MTA.Parking,MTA.parkingregulations,DAYS,Days,, Days for which regulation is in effect,
MTA.parkingregulationsHOURS,MTA.Parking,MTA.parkingregulations,HOURS,Hours,, Hours for which regulation is in effect,
MTA.parkingregulationsHRS_BEGIN,MTA.Parking,MTA.parkingregulations,HRS_BEGIN,Hours Begin,,,
MTA.parkingregulationsHRS_END,MTA.Parking,MTA.parkingregulations,HRS_END,Hours End,,,
MTA.parkingregulationsREGDETAILS,MTA.Parking,MTA.parkingregulations,REGDETAILS,Do Not Publish,,,
MTA.parkingregulationsMODIFIED,MTA.Parking,MTA.parkingregulations,MODIFIED,Do Not Publish,,,
MTA.parkingregulationsEDITOR,MTA.Parking,MTA.parkingregulations,EDITOR,Do Not Publish,,,
MTA.parkingregulationsRPPAREA1,MTA.Parking,MTA.parkingregulations,RPPAREA1,RPP Area 1,,,
MTA.parkingregulationsRPPAREA2,MTA.Parking,MTA.parkingregulations,RPPAREA2,RPP Area 2,,,
MTA.parkingregulationsRPPAREA3,MTA.Parking,MTA.parkingregulations,RPPAREA3,RPP Area 3,,,
MTA.parkingregulationsFID_100,MTA.Parking,MTA.parkingregulations,FID_100,Do Not Publish,,,
MTA.parkingregulationsLENGTH_FT,MTA.Parking,MTA.parkingregulations,LENGTH_FT,Do Not Publish,,,
MTA.parkingregulationsCONFLICT,MTA.Parking,MTA.parkingregulations,CONFLICT,Do Not Publish,,,
MTA.parkingregulationsENACTED,MTA.Parking,MTA.parkingregulations,ENACTED,Do Not Publish,, Month and year of MTA Board resolution passed,
MTA.parkingregulationsCREATED_US,MTA.Parking,MTA.parkingregulations,CREATED_US,Do Not Publish,,,
MTA.parkingregulationsCREATED_DA,MTA.Parking,MTA.parkingregulations,CREATED_DA,Do Not Publish,,,
MTA.parkingregulationsLAST_EDITE,MTA.Parking,MTA.parkingregulations,LAST_EDITE,Do Not Publish,,,
MTA.parkingregulationsLAST_EDI_1,MTA.Parking,MTA.parkingregulations,LAST_EDI_1,Do Not Publish,,,
MTA.parkingregulationsMOTION_NUM,MTA.Parking,MTA.parkingregulations,MOTION_NUM,Do Not Publish,,,
MTA.parkingregulationsHRLIMIT,MTA.Parking,MTA.parkingregulations,HRLIMIT,Hour Limit,, Max number of hours allowed for parking on that blockface (unless RPP holder),
MTA.parkingregulationsSHAPE,MTA.Parking,MTA.parkingregulations,SHAPE,Do Not Publish,,,
MTA.parkingregulationsCREATED_USER,MTA.Parking,MTA.parkingregulations,CREATED_USER,Do Not Publish,,,
MTA.parkingregulationsCREATED_DATE,MTA.Parking,MTA.parkingregulations,CREATED_DATE,Do Not Publish,,,
MTA.parkingregulationsLAST_EDITED_USER,MTA.Parking,MTA.parkingregulations,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingregulationsLAST_EDITED_DATE,MTA.Parking,MTA.parkingregulations,LAST_EDITED_DATE,Last Edited Date,,,
MTA.parkingregulationsSHAPE.LEN,MTA.Parking,MTA.parkingregulations,SHAPE.LEN,Do Not Publish,,,
MTA.carshare_offstreetOBJECTID,MTA.Parking,MTA.carshare_offstreet,OBJECTID,Object ID,,,
MTA.carshare_offstreetCITY,MTA.Parking,MTA.carshare_offstreet,CITY,,, City in which the off street car is located,
MTA.carshare_offstreetZIP,MTA.Parking,MTA.carshare_offstreet,ZIP,,, Zipcode in which the off streer car is located,
MTA.carshare_offstreetADDRESS_1,MTA.Parking,MTA.carshare_offstreet,ADDRESS_1,,,,
MTA.carshare_offstreetCITYCARSHA,MTA.Parking,MTA.carshare_offstreet,CITYCARSHA,,, the number of City Carshare vehicles located at this address,
MTA.carshare_offstreetGETAROUND,MTA.Parking,MTA.carshare_offstreet,GETAROUND,,, Number of Getaround vehicles located at this address,
MTA.carshare_offstreetZIPCAR,MTA.Parking,MTA.carshare_offstreet,ZIPCAR,,, Number of Zipcar vehicles located at this address,
MTA.carshare_offstreetTOTAL,MTA.Parking,MTA.carshare_offstreet,TOTAL,,, Sum of all car share vehicles at this address,
MTA.carshare_offstreetSHAPE,MTA.Parking,MTA.carshare_offstreet,SHAPE,Do Not Publish,,,
MTA.carshare_offstreetCREATED_USER,MTA.Parking,MTA.carshare_offstreet,CREATED_USER,Do Not Publish,,,
MTA.carshare_offstreetCREATED_DATE,MTA.Parking,MTA.carshare_offstreet,CREATED_DATE,Do Not Publish,,,
MTA.carshare_offstreetLAST_EDITED_USER,MTA.Parking,MTA.carshare_offstreet,LAST_EDITED_USER,Do Not Publish,,,
MTA.carshare_offstreetLAST_EDITED_DATE,MTA.Parking,MTA.carshare_offstreet,LAST_EDITED_DATE,Last Edited Date,,,
MTA.metersOBJECTID,MTA.Parking,MTA.meters,OBJECTID,Object ID,,,
MTA.metersPOST_ID,MTA.Parking,MTA.meters,POST_ID,Post ID,, Unique identifier of meter,
MTA.metersCAP_COLOR,MTA.Parking,MTA.meters,CAP_COLOR,Cap Color,," Cap color describes the use and restrictions of the meter--Black - Motorcycle parking,Brown - Tour bus parking,Green - Short term parking,Grey - General metered parking,Purple - Boat trailer parking,Red - Six wheeled commercial vehicle parking,Yellow - Commercial vehicle parking",
MTA.metersOLD_RATE_A,MTA.Parking,MTA.meters,OLD_RATE_A,Hourly Rate,, Hourly rate zone of the meter,
MTA.metersMS_PAY_STA,MTA.Parking,MTA.meters,MS_PAY_STA,MS ID,,,
MTA.metersMS_SPACE_N,MTA.Parking,MTA.meters,MS_SPACE_N,MS Space ID,,,
MTA.metersSENSOR_FLA,MTA.Parking,MTA.meters,SENSOR_FLA,Pilot Sensor Present,," If there was an active occupancy sensor located at the space during the SFpark pilot (until Dec 2013)--N- No,Y - Yes",
MTA.metersON_OFFSTRE,MTA.Parking,MTA.meters,ON_OFFSTRE,On or Off Street,,,
MTA.metersOSP_ID,MTA.Parking,MTA.meters,OSP_ID,Off Street Parking ID,," Unique identifier of SFMTA‐owned off‐street parking space--Null - Meter located on‐street,890 - Pier 48 Lot,891 - Pier 52 Lot,892 - Pier 1/2 Motorcycle Lot,901 - 24th and Capp Lot,902 - California and Steiner Lot,903 - 8th and Clement Lot,904 - 9th and Clement Lot,905 - Castro Theater Lot,906 - 18th and Collingwood Lot,907 - Mission and Norton Lot,908 - 21st and Geary Lot,909 - 18th and Geary Lot,910 - 20th and Irving Lot,911 - 8th and Irving Lot,913 - 7th and Irving Lot,914 - Junipero Serra and Ocean Lot,915 - 19th and Ocean Lot,916 - Pierce Street Garage,918 - 24th and Noe Lot,919 - Felton and San Bruno Lot,920 - SF General Hospital Lot,922 - West Portal Lot,923 - Claremont and Ulloa Lot,924 - Phelan Loop Lot",
MTA.metersJURISDICTI,MTA.Parking,MTA.meters,JURISDICTI,Jurisdiction,," Agency which manages the meter--PORT - Port of San Francisco,SFMTA - San Francisco Municipal Transportation Agency",
MTA.metersPM_DISTRIC,MTA.Parking,MTA.meters,PM_DISTRIC,Parking Management District,, Parking Management District ID,
MTA.metersBLOCKFACE_,MTA.Parking,MTA.meters,BLOCKFACE_,Blockface ID,, Blockface (side of street) ID,
MTA.metersACTIVE_MET,MTA.Parking,MTA.meters,ACTIVE_MET,Meter Status,," Status of meter--M - Active,T - Temporarily inactive",
MTA.metersMETER_TYPE,MTA.Parking,MTA.meters,METER_TYPE,Meter Type,," How many spaces the meter manages-SS - Single‐space,MS - Multi‐space",
MTA.metersMETER_VEND,MTA.Parking,MTA.meters,METER_VEND,Meter Vendor,, Meter vendor,
MTA.metersMETER_MODE,MTA.Parking,MTA.meters,METER_MODE,Meter Model,, Meter model,
MTA.metersPARKING_SP,MTA.Parking,MTA.meters,PARKING_SP,Parking Space ID,," Parking Space ID, connected to the physical location rather than the meter",
MTA.metersSTREET_ID,MTA.Parking,MTA.meters,STREET_ID,Street ID,, Street ID,
MTA.metersSTREET_NAM,MTA.Parking,MTA.meters,STREET_NAM,Street Name,,,
MTA.metersSTREET_NUM,MTA.Parking,MTA.meters,STREET_NUM,Street Number,, Approximate street number of the meter,
MTA.metersPARITY_DIG,MTA.Parking,MTA.meters,PARITY_DIG,Do Not Publish,,,
MTA.metersSTREET_SEG,MTA.Parking,MTA.meters,STREET_SEG,Street Segment ID,, Unique identifier of street centerline segment where the meter is located,
MTA.metersORIENTATIO,MTA.Parking,MTA.meters,ORIENTATIO,Orientation,,,
MTA.metersLONGITUDE,MTA.Parking,MTA.meters,LONGITUDE,Do Not Publish,,,
MTA.metersLATITUDE,MTA.Parking,MTA.meters,LATITUDE,Do Not Publish,,,
MTA.metersCREATED_DT,MTA.Parking,MTA.meters,CREATED_DT,Do Not Publish,,,
MTA.metersLAST_UPD_D,MTA.Parking,MTA.meters,LAST_UPD_D,Do Not Publish,,,
MTA.metersLAST_UPD_U,MTA.Parking,MTA.meters,LAST_UPD_U,Do Not Publish,,,
MTA.metersLAST_UPD_P,MTA.Parking,MTA.meters,LAST_UPD_P,Do Not Publish,,,
MTA.metersX,MTA.Parking,MTA.meters,X,Do Not Publish,,,
MTA.metersY,MTA.Parking,MTA.meters,Y,Do Not Publish,,,
MTA.metersSHAPE,MTA.Parking,MTA.meters,SHAPE,Do Not Publish,,,
MTA.metersCREATED_USER,MTA.Parking,MTA.meters,CREATED_USER,Do Not Publish,,,
MTA.metersCREATED_DATE,MTA.Parking,MTA.meters,CREATED_DATE,Do Not Publish,,,
MTA.metersLAST_EDITED_USER,MTA.Parking,MTA.meters,LAST_EDITED_USER,Do Not Publish,,,
MTA.metersLAST_EDITED_DATE,MTA.Parking,MTA.meters,LAST_EDITED_DATE,Last Edited Date,,,
MTA.streets_transitOBJECTID_1,MTA.RightOfWay,MTA.streets_transit,OBJECTID_1,Object ID,,,
MTA.streets_transitOBJECTID,MTA.RightOfWay,MTA.streets_transit,OBJECTID,Object ID,,,
MTA.streets_transitID,MTA.RightOfWay,MTA.streets_transit,ID,,,,
MTA.streets_transitLENGTH,MTA.RightOfWay,MTA.streets_transit,LENGTH,,,,
MTA.streets_transitSTREET,MTA.RightOfWay,MTA.streets_transit,STREET,,,,
MTA.streets_transitST_TYPE,MTA.RightOfWay,MTA.streets_transit,ST_TYPE,,,,
MTA.streets_transitLF_FADD,MTA.RightOfWay,MTA.streets_transit,LF_FADD,,,,
MTA.streets_transitLF_TOADD,MTA.RightOfWay,MTA.streets_transit,LF_TOADD,,,,
MTA.streets_transitRT_FADD,MTA.RightOfWay,MTA.streets_transit,RT_FADD,,,,
MTA.streets_transitRT_TOADD,MTA.RightOfWay,MTA.streets_transit,RT_TOADD,,,,
MTA.streets_transitFROM_ST,MTA.RightOfWay,MTA.streets_transit,FROM_ST,,,,
MTA.streets_transitTO_ST,MTA.RightOfWay,MTA.streets_transit,TO_ST,,,,
MTA.streets_transitLAYER,MTA.RightOfWay,MTA.streets_transit,LAYER,,,,
MTA.streets_transitF_NODE_CNN,MTA.RightOfWay,MTA.streets_transit,F_NODE_CNN,,,,
MTA.streets_transitT_NODE_CNN,MTA.RightOfWay,MTA.streets_transit,T_NODE_CNN,,,,
MTA.streets_transitCNN,MTA.RightOfWay,MTA.streets_transit,CNN,,,,
MTA.streets_transitTLENGTH,MTA.RightOfWay,MTA.streets_transit,TLENGTH,,,,
MTA.streets_transitDMG,MTA.RightOfWay,MTA.streets_transit,DMG,,,,
MTA.streets_transitSINUOUS,MTA.RightOfWay,MTA.streets_transit,SINUOUS,,,,
MTA.streets_transitSTREETNAME,MTA.RightOfWay,MTA.streets_transit,STREETNAME,,,,
MTA.streets_transitZIP_CODE,MTA.RightOfWay,MTA.streets_transit,ZIP_CODE,,,,
MTA.streets_transitACCEPTED,MTA.RightOfWay,MTA.streets_transit,ACCEPTED,,,,
MTA.streets_transitJURISDICTI,MTA.RightOfWay,MTA.streets_transit,JURISDICTI,,,,
MTA.streets_transitNHOOD,MTA.RightOfWay,MTA.streets_transit,NHOOD,,,,
MTA.streets_transitCNNTEXT,MTA.RightOfWay,MTA.streets_transit,CNNTEXT,,,,
MTA.streets_transitCLASSCODE,MTA.RightOfWay,MTA.streets_transit,CLASSCODE,,,,
MTA.streets_transitSTREET_GC,MTA.RightOfWay,MTA.streets_transit,STREET_GC,,,,
MTA.streets_transitSTREETNA_1,MTA.RightOfWay,MTA.streets_transit,STREETNA_1,,,,
MTA.streets_transitONEWAY,MTA.RightOfWay,MTA.streets_transit,ONEWAY,,,,
MTA.streets_transitST_LENGTH_,MTA.RightOfWay,MTA.streets_transit,ST_LENGTH_,,,,
MTA.streets_transitDISTRICT,MTA.RightOfWay,MTA.streets_transit,DISTRICT,,,,
MTA.streets_transitMTA.streets_transit.AREA,MTA.RightOfWay,MTA.streets_transit,MTA.streets_transit.AREA,,,,
MTA.streets_transitCFCC,MTA.RightOfWay,MTA.streets_transit,CFCC,,,,
MTA.streets_transitCITY,MTA.RightOfWay,MTA.streets_transit,CITY,,,,
MTA.streets_transitSHAPE,MTA.RightOfWay,MTA.streets_transit,SHAPE,Do Not Publish,,,
MTA.streets_transitCREATED_USER,MTA.RightOfWay,MTA.streets_transit,CREATED_USER,Do Not Publish,,,
MTA.streets_transitCREATED_DATE,MTA.RightOfWay,MTA.streets_transit,CREATED_DATE,Do Not Publish,,,
MTA.streets_transitLAST_EDITED_USER,MTA.RightOfWay,MTA.streets_transit,LAST_EDITED_USER,Do Not Publish,,,
MTA.streets_transitLAST_EDITED_DATE,MTA.RightOfWay,MTA.streets_transit,LAST_EDITED_DATE,Last Edited Date,,,
MTA.streets_transitSHAPE.LEN,MTA.RightOfWay,MTA.streets_transit,SHAPE.LEN,Do Not Publish,,,
MTA.row_streetsOBJECTID,MTA.RightOfWay,MTA.row_streets,OBJECTID,Object ID,,,
MTA.row_streetsCNN,MTA.RightOfWay,MTA.row_streets,CNN,,,,
MTA.row_streetsROWWIDTH,MTA.RightOfWay,MTA.row_streets,ROWWIDTH,,," Width, in feet, from parcel to parcel for each CNN street segment",
MTA.row_streetsSHAPE,MTA.RightOfWay,MTA.row_streets,SHAPE,Do Not Publish,,,
MTA.row_streetsCREATED_USER,MTA.RightOfWay,MTA.row_streets,CREATED_USER,Do Not Publish,,,
MTA.row_streetsCREATED_DATE,MTA.RightOfWay,MTA.row_streets,CREATED_DATE,Do Not Publish,,,
MTA.row_streetsLAST_EDITED_USER,MTA.RightOfWay,MTA.row_streets,LAST_EDITED_USER,Do Not Publish,,,
MTA.row_streetsLAST_EDITED_DATE,MTA.RightOfWay,MTA.row_streets,LAST_EDITED_DATE,Last Edited Date,,,
MTA.row_streetsSHAPE.LEN,MTA.RightOfWay,MTA.row_streets,SHAPE.LEN,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeOBJECTID,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,OBJECTID,Object ID,,,
MTA.row_streetblocks_nodetonodeCNN,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,CNN,,,,
MTA.row_streetblocks_nodetonodeROWWIDTH,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,ROWWIDTH,,," Width, in feet, from parcel to parcel for each CNN street segment",
MTA.row_streetblocks_nodetonodeSHAPE,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,SHAPE,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeCREATED_USER,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,CREATED_USER,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeCREATED_DATE,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,CREATED_DATE,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeLAST_EDITED_USER,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,LAST_EDITED_USER,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeLAST_EDITED_DATE,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,LAST_EDITED_DATE,Last Edited Date,,,
MTA.row_streetblocks_nodetonodeSHAPE.AREA,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,SHAPE.AREA,Do Not Publish,,,
MTA.row_streetblocks_nodetonodeSHAPE.LEN,MTA.RightOfWay,MTA.row_streetblocks_nodetonode,SHAPE.LEN,Do Not Publish,,,
MTA.temporary_street_closuresOBJECTID,MTA.RightOfWay,MTA.temporary_street_closures,OBJECTID,Object ID,,,
MTA.temporary_street_closuresEVENTTYPE,MTA.RightOfWay,MTA.temporary_street_closures,EVENTTYPE,,,,
MTA.temporary_street_closuresEVENTRECURRANCE,MTA.RightOfWay,MTA.temporary_street_closures,EVENTRECURRANCE,,,,
MTA.temporary_street_closuresEVENTNAME,MTA.RightOfWay,MTA.temporary_street_closures,EVENTNAME,,,,
MTA.temporary_street_closuresSTARTDATE,MTA.RightOfWay,MTA.temporary_street_closures,STARTDATE,,,,
MTA.temporary_street_closuresSTARTTIME,MTA.RightOfWay,MTA.temporary_street_closures,STARTTIME,,,,
MTA.temporary_street_closuresENDDATE,MTA.RightOfWay,MTA.temporary_street_closures,ENDDATE,,,,
MTA.temporary_street_closuresENDTIME,MTA.RightOfWay,MTA.temporary_street_closures,ENDTIME,,,,
MTA.temporary_street_closuresLOCATION,MTA.RightOfWay,MTA.temporary_street_closures,LOCATION,,,,
MTA.temporary_street_closuresSTATUS,MTA.RightOfWay,MTA.temporary_street_closures,STATUS,,,,
MTA.temporary_street_closuresNOTES,MTA.RightOfWay,MTA.temporary_street_closures,NOTES,,,,
MTA.temporary_street_closuresMONDAY,MTA.RightOfWay,MTA.temporary_street_closures,MONDAY,,,,
MTA.temporary_street_closuresTUESDAY,MTA.RightOfWay,MTA.temporary_street_closures,TUESDAY,,,,
MTA.temporary_street_closuresWEDNESDAY,MTA.RightOfWay,MTA.temporary_street_closures,WEDNESDAY,,,,
MTA.temporary_street_closuresTHURSDAY,MTA.RightOfWay,MTA.temporary_street_closures,THURSDAY,,,,
MTA.temporary_street_closuresFRIDAY,MTA.RightOfWay,MTA.temporary_street_closures,FRIDAY,,,,
MTA.temporary_street_closuresSATURDAY,MTA.RightOfWay,MTA.temporary_street_closures,SATURDAY,,,,
MTA.temporary_street_closuresSUNDAY,MTA.RightOfWay,MTA.temporary_street_closures,SUNDAY,,,,
MTA.temporary_street_closuresSHAPE,MTA.RightOfWay,MTA.temporary_street_closures,SHAPE,Do Not Publish,,,
MTA.temporary_street_closuresCREATED_USER,MTA.RightOfWay,MTA.temporary_street_closures,CREATED_USER,Do Not Publish,,,
MTA.temporary_street_closuresCREATED_DATE,MTA.RightOfWay,MTA.temporary_street_closures,CREATED_DATE,Do Not Publish,,,
MTA.temporary_street_closuresLAST_EDITED_USER,MTA.RightOfWay,MTA.temporary_street_closures,LAST_EDITED_USER,Do Not Publish,,,
MTA.temporary_street_closuresLAST_EDITED_DATE,MTA.RightOfWay,MTA.temporary_street_closures,LAST_EDITED_DATE,Last Edited Date,,,
MTA.temporary_street_closuresSHAPE.LEN,MTA.RightOfWay,MTA.temporary_street_closures,SHAPE.LEN,Do Not Publish,,,
MTA.row_streetblocksOBJECTID,MTA.RightOfWay,MTA.row_streetblocks,OBJECTID,Object ID,,,
MTA.row_streetblocksCNN,MTA.RightOfWay,MTA.row_streetblocks,CNN,,,,
MTA.row_streetblocksROW201506,MTA.RightOfWay,MTA.row_streetblocks,ROW201506,,,,
MTA.row_streetblocksROW_ORIG,MTA.RightOfWay,MTA.row_streetblocks,ROW_ORIG,,,,
MTA.row_streetblocksROW_CORR14,MTA.RightOfWay,MTA.row_streetblocks,ROW_CORR14,,,,
MTA.row_streetblocksNOTES_CORR,MTA.RightOfWay,MTA.row_streetblocks,NOTES_CORR,,,,
MTA.row_streetblocksDIVIDED,MTA.RightOfWay,MTA.row_streetblocks,DIVIDED,,,,
MTA.row_streetblocksROW_201507,MTA.RightOfWay,MTA.row_streetblocks,ROW_201507,,,,
MTA.row_streetblocksROW_HALF,MTA.RightOfWay,MTA.row_streetblocks,ROW_HALF,,,,
MTA.row_streetblocksBUFF_DIST,MTA.RightOfWay,MTA.row_streetblocks,BUFF_DIST,,,,
MTA.row_streetblocksORIG_FID,MTA.RightOfWay,MTA.row_streetblocks,ORIG_FID,,,,
MTA.row_streetblocksSHAPE,MTA.RightOfWay,MTA.row_streetblocks,SHAPE,Do Not Publish,,,
MTA.row_streetblocksCREATED_USER,MTA.RightOfWay,MTA.row_streetblocks,CREATED_USER,Do Not Publish,,,
MTA.row_streetblocksCREATED_DATE,MTA.RightOfWay,MTA.row_streetblocks,CREATED_DATE,Do Not Publish,,,
MTA.row_streetblocksLAST_EDITED_USER,MTA.RightOfWay,MTA.row_streetblocks,LAST_EDITED_USER,Do Not Publish,,,
MTA.row_streetblocksLAST_EDITED_DATE,MTA.RightOfWay,MTA.row_streetblocks,LAST_EDITED_DATE,Last Edited Date,,,
MTA.row_streetblocksSHAPE.AREA,MTA.RightOfWay,MTA.row_streetblocks,SHAPE.AREA,Do Not Publish,,,
MTA.row_streetblocksSHAPE.LEN,MTA.RightOfWay,MTA.row_streetblocks,SHAPE.LEN,Do Not Publish,,,
MTA.blockfacesOBJECTID,MTA.RightOfWay,MTA.blockfaces,OBJECTID,Object ID,,,
MTA.blockfacesOID_,MTA.RightOfWay,MTA.blockfaces,OID_,,,,
MTA.blockfacesNAME,MTA.RightOfWay,MTA.blockfaces,NAME,,,,
MTA.blockfacesPOPUPINFO,MTA.RightOfWay,MTA.blockfaces,POPUPINFO,,,,
MTA.blockfacesSHAPE_LENG,MTA.RightOfWay,MTA.blockfaces,SHAPE_LENG,Do Not Publish,,,
MTA.blockfacesOBJECT_ID,MTA.RightOfWay,MTA.blockfaces,OBJECT_ID,Object ID,,,
MTA.blockfacesSTREET_NAM,MTA.RightOfWay,MTA.blockfaces,STREET_NAM,,,,
MTA.blockfacesBLOCKFACE_,MTA.RightOfWay,MTA.blockfaces,BLOCKFACE_,,,,
MTA.blockfacesSFPARK_ID,MTA.RightOfWay,MTA.blockfaces,SFPARK_ID,,,,
MTA.blockfacesCNN_ID,MTA.RightOfWay,MTA.blockfaces,CNN_ID,,,,
MTA.blockfacesSHAPE,MTA.RightOfWay,MTA.blockfaces,SHAPE,Do Not Publish,,,
MTA.blockfacesCREATED_USER,MTA.RightOfWay,MTA.blockfaces,CREATED_USER,Do Not Publish,,,
MTA.blockfacesCREATED_DATE,MTA.RightOfWay,MTA.blockfaces,CREATED_DATE,Do Not Publish,,,
MTA.blockfacesLAST_EDITED_USER,MTA.RightOfWay,MTA.blockfaces,LAST_EDITED_USER,Do Not Publish,,,
MTA.blockfacesLAST_EDITED_DATE,MTA.RightOfWay,MTA.blockfaces,LAST_EDITED_DATE,Last Edited Date,,,
MTA.blockfacesSHAPE.LEN,MTA.RightOfWay,MTA.blockfaces,SHAPE.LEN,Do Not Publish,,,
MTA.bikecountersOBJECTID_1,MTA.Bicycle,MTA.bikecounters,OBJECTID_1,Do Not Publish,,,
MTA.bikecountersOBJECTID,MTA.Bicycle,MTA.bikecounters,OBJECTID,Object ID,,,
MTA.bikecountersCOUNTER_NO,MTA.Bicycle,MTA.bikecounters,COUNTER_NO,Do Not Publish,, counter number,
MTA.bikecountersCOUNTER,MTA.Bicycle,MTA.bikecounters,COUNTER,Do Not Publish,, counter number,
MTA.bikecountersLOCATION,MTA.Bicycle,MTA.bikecounters,LOCATION,Location,, where the counter is located,
MTA.bikecountersROUTE_TYPE,MTA.Bicycle,MTA.bikecounters,ROUTE_TYPE,Route Type,, bicycle facility on the street the counter is located,
MTA.bikecountersLANE_WIDTH,MTA.Bicycle,MTA.bikecounters,LANE_WIDTH,Lane Width,, bicycle facility width,
MTA.bikecountersSTREET_WID,MTA.Bicycle,MTA.bikecounters,STREET_WID,Street Width,, street width,
MTA.bikecountersLOOP_TYPE,MTA.Bicycle,MTA.bikecounters,LOOP_TYPE,Loop Detector Type,, loop detector type,
MTA.bikecountersPAVING_STA,MTA.Bicycle,MTA.bikecounters,PAVING_STA,Do Not Publish,,,
MTA.bikecountersPAVING_END,MTA.Bicycle,MTA.bikecounters,PAVING_END,Do Not Publish,,,
MTA.bikecountersSTATUS,MTA.Bicycle,MTA.bikecounters,STATUS,Status,, status of bike loop counter,
MTA.bikecountersON_,MTA.Bicycle,MTA.bikecounters,ON_,Do Not Publish,,,
MTA.bikecountersAPPR,MTA.Bicycle,MTA.bikecounters,APPR,Approximate Cross Street,, approximate cross street,
MTA.bikecountersPAVE,MTA.Bicycle,MTA.bikecounters,PAVE,Pavement,, pavement,
MTA.bikecountersBIKE,MTA.Bicycle,MTA.bikecounters,BIKE,Bike Facility On Street,, bike facility on the street,
MTA.bikecountersPAVEST,MTA.Bicycle,MTA.bikecounters,PAVEST,Street Repaving Start,, street repaving start,
MTA.bikecountersPAVEEN,MTA.Bicycle,MTA.bikecounters,PAVEEN,Street Repaving End,, street repaving end,
MTA.bikecountersC_ID,MTA.Bicycle,MTA.bikecounters,C_ID,Counter ID,, counter ID,
MTA.bikecountersSUPERVISOR,MTA.Bicycle,MTA.bikecounters,SUPERVISOR,Supervisor District,, Supervisor district,
MTA.bikecountersLOGGER_TYP,MTA.Bicycle,MTA.bikecounters,LOGGER_TYP,Hardware Type,, hardware type,
MTA.bikecountersFULL_SERIA,MTA.Bicycle,MTA.bikecounters,FULL_SERIA,Do Not Publish,, hardware serial number,
MTA.bikecountersSHAPE,MTA.Bicycle,MTA.bikecounters,SHAPE,Do Not Publish,,,
MTA.bikecountersCREATED_USER,MTA.Bicycle,MTA.bikecounters,CREATED_USER,Do Not Publish,,,
MTA.bikecountersCREATED_DATE,MTA.Bicycle,MTA.bikecounters,CREATED_DATE,Do Not Publish,,,
MTA.bikecountersLAST_EDITED_USER,MTA.Bicycle,MTA.bikecounters,LAST_EDITED_USER,Do Not Publish,,,
MTA.bikecountersLAST_EDITED_DATE,MTA.Bicycle,MTA.bikecounters,LAST_EDITED_DATE,Last Edited Date,,,
MTA.bikevolume_manualOBJECTID_1,MTA.Bicycle,MTA.bikevolume_manual,OBJECTID_1,Do Not Publish,,,
MTA.bikevolume_manualOBJECTID,MTA.Bicycle,MTA.bikevolume_manual,OBJECTID,Object ID,,,
MTA.bikevolume_manualLOC_ID,MTA.Bicycle,MTA.bikevolume_manual,LOC_ID,Location ID,, A unique id for each intersection location,
MTA.bikevolume_manualLOCATION,MTA.Bicycle,MTA.bikevolume_manual,LOCATION,Location,, Intersection street names,
MTA.bikevolume_manualNODELAYER,MTA.Bicycle,MTA.bikevolume_manual,NODELAYER,Do Not Publish,,,
MTA.bikevolume_manualCNN,MTA.Bicycle,MTA.bikevolume_manual,CNN,CNN ID,, The unique street intersection central network node number,
MTA.bikevolume_manualTIME,MTA.Bicycle,MTA.bikevolume_manual,TIME,Do Not Publish,,,
MTA.bikevolume_manualYR2006_PM,MTA.Bicycle,MTA.bikevolume_manual,YR2006_PM,Bike Count 2006 Afternoon,," Bike count for the year of 2006, PM",
MTA.bikevolume_manualYR2007_PM,MTA.Bicycle,MTA.bikevolume_manual,YR2007_PM,Bike Count 2007 Afternoon,," Bike count for the year of 2007, PM",
